x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
3,0,3,1,1,3,0,3,0,1,2,0,67.0,238903
1,2,3,3,2,0,2,1,1,1,3,0,50.0,242021
1,1,1,1,2,0,0,1,2,1,2,0,111.5,244884
1,0,2,3,2,2,0,1,2,1,3,1,138.5,247771
1,1,2,3,2,2,1,1,2,1,3,0,29.5,250693
1,2,1,3,2,2,0,1,2,1,3,3,20.5,253647
1,2,2,3,2,0,0,1,2,1,1,0,20.5,256678
1,2,3,3,2,2,1,1,2,1,2,1,20.5,259807
1,1,3,3,2,2,0,1,2,1,1,0,29.5,262836
1,2,3,3,2,3,2,1,2,1,0,0,20.5,265049
0,1,2,0,0,2,2,2,0,2,1,3,57.5,266043
1,2,1,3,2,1,1,1,2,1,0,1,20.5,268947
1,2,1,3,3,1,0,1,2,1,0,0,67.0,271243
2,1,1,3,3,2,0,1,0,0,3,2,57.5,272045
1,2,3,3,2,2,0,1,2,1,3,3,20.5,274985
2,2,1,3,2,2,0,1,2,1,3,0,20.5,278103
1,0,1,0,3,1,1,0,1,0,2,3,50.0,279434
2,2,0,3,2,1,0,1,2,1,0,0,20.5,282247
1,2,2,3,2,1,3,1,2,1,3,0,20.5,285282
1,0,0,2,2,2,0,3,2,3,1,0,50.0,288077
1,2,3,3,2,1,3,1,2,1,0,0,20.5,291023
3,1,2,3,3,0,3,1,0,0,3,3,47.0,292434
1,2,1,3,2,0,0,1,2,1,0,1,20.5,294713
0,2,0,3,2,2,0,1,2,1,0,0,20.5,297257
0,0,2,1,2,3,0,2,1,2,3,0,48.5,300198
0,0,1,1,1,2,1,1,3,2,1,2,50.0,303034
0,2,3,3,2,0,3,1,2,1,1,0,20.5,305814
3,0,2,1,1,3,1,0,2,3,3,1,50.0,308832
1,2,3,3,2,0,3,1,2,1,0,1,20.5,311766
2,0,2,2,1,1,0,3,1,2,3,0,50.0,315147
0,2,3,3,2,2,3,1,2,1,3,0,20.5,318359
1,2,1,3,2,1,0,1,2,1,3,0,20.5,321306
0,0,1,1,1,0,1,3,0,2,3,0,55.0,323423
1,2,2,3,2,2,0,1,2,1,2,0,20.5,326231
0,0,2,2,1,2,0,3,0,2,0,1,67.0,328608
1,2,3,3,2,3,0,1,2,1,0,0,20.5,331279
0,1,2,3,2,1,0,1,2,1,0,2,29.5,334153
3,0,1,0,1,1,1,0,2,2,0,2,138.5,336819
1,2,3,3,2,1,3,1,2,1,3,1,20.5,339949
1,2,2,3,2,2,3,1,2,1,3,0,20.5,342955
1,0,1,0,0,2,0,0,3,2,0,2,50.0,345356
2,0,2,0,1,1,0,3,0,3,2,1,50.0,347464
0,3,2,0,0,3,0,0,2,3,0,3,20.5,350693
1,2,0,2,1,2,1,0,0,3,3,3,112.5,351691
1,3,3,0,2,3,0,0,3,3,1,3,50.0,354691
3,0,2,0,1,3,1,0,3,3,0,2,50.0,357745
1,0,3,2,2,3,0,3,0,2,0,0,20.5,360858
1,2,2,3,2,3,3,1,2,1,3,2,20.5,364111
1,2,1,3,2,1,0,1,2,0,0,0,50.0,367045
